year,country,indicator,value
1960,Ethiopia,gdp_growth_pct,
1961,Ethiopia,gdp_growth_pct,
1962,Ethiopia,gdp_growth_pct,4.32609133566669
1963,Ethiopia,gdp_growth_pct,4.51863392606097
1964,Ethiopia,gdp_growth_pct,4.090485611454
1965,Ethiopia,gdp_growth_pct,5.77193201591967
1966,Ethiopia,gdp_growth_pct,7.25659803697334
1967,Ethiopia,gdp_growth_pct,4.06158788001341
1968,Ethiopia,gdp_growth_pct,4.14218784379452
1969,Ethiopia,gdp_growth_pct,1.38865740774845
1970,Ethiopia,gdp_growth_pct,3.48272874063242
1971,Ethiopia,gdp_growth_pct,6.52647616372386
1972,Ethiopia,gdp_growth_pct,4.22715958999208
1973,Ethiopia,gdp_growth_pct,5.10986950748782
1974,Ethiopia,gdp_growth_pct,3.27365832432511
1975,Ethiopia,gdp_growth_pct,1.24613171483642
1976,Ethiopia,gdp_growth_pct,0.148810316081267
1977,Ethiopia,gdp_growth_pct,2.72568162583839
1978,Ethiopia,gdp_growth_pct,2.74000633157128
1979,Ethiopia,gdp_growth_pct,-1.10076369425465
1980,Ethiopia,gdp_growth_pct,6.42416616401589
1981,Ethiopia,gdp_growth_pct,4.38154812543456
1982,Ethiopia,gdp_growth_pct,0.916013856738402
1983,Ethiopia,gdp_growth_pct,8.23500571913669
1984,Ethiopia,gdp_growth_pct,-2.84802145221462
1985,Ethiopia,gdp_growth_pct,-11.1443529779264
1986,Ethiopia,gdp_growth_pct,9.66161236122211
1987,Ethiopia,gdp_growth_pct,13.8593303949744
1988,Ethiopia,gdp_growth_pct,0.503674879297719
1989,Ethiopia,gdp_growth_pct,-0.361044179752284
1990,Ethiopia,gdp_growth_pct,2.72645178272684
1991,Ethiopia,gdp_growth_pct,-7.13747971659305
1992,Ethiopia,gdp_growth_pct,-8.6724801143672
1993,Ethiopia,gdp_growth_pct,13.1428339363255
1994,Ethiopia,gdp_growth_pct,3.18996458331273
1995,Ethiopia,gdp_growth_pct,6.12751141587474
1996,Ethiopia,gdp_growth_pct,12.4261737814951
1997,Ethiopia,gdp_growth_pct,3.1339068517801
1998,Ethiopia,gdp_growth_pct,-3.4581391346848
1999,Ethiopia,gdp_growth_pct,5.16214582255112
2000,Ethiopia,gdp_growth_pct,6.07321748125295
2001,Ethiopia,gdp_growth_pct,8.30130632267965
2002,Ethiopia,gdp_growth_pct,1.51472570667433
2003,Ethiopia,gdp_growth_pct,-2.16135972256865
2004,Ethiopia,gdp_growth_pct,13.5726031401471
2005,Ethiopia,gdp_growth_pct,11.8187659491625
2006,Ethiopia,gdp_growth_pct,10.8347270679373
2007,Ethiopia,gdp_growth_pct,11.4561670019891
2008,Ethiopia,gdp_growth_pct,10.7885216870332
2009,Ethiopia,gdp_growth_pct,8.8025531990487
2010,Ethiopia,gdp_growth_pct,12.5505383347633
2011,Ethiopia,gdp_growth_pct,11.1782962297008
2012,Ethiopia,gdp_growth_pct,8.64781163513926
2013,Ethiopia,gdp_growth_pct,10.5822700502552
2014,Ethiopia,gdp_growth_pct,10.2574929627477
2015,Ethiopia,gdp_growth_pct,10.3924630141307
2016,Ethiopia,gdp_growth_pct,9.43348265981905
2017,Ethiopia,gdp_growth_pct,9.56418965754014
2018,Ethiopia,gdp_growth_pct,6.81614778557282
2019,Ethiopia,gdp_growth_pct,8.36408573314054
2020,Ethiopia,gdp_growth_pct,6.05953089054807
2021,Ethiopia,gdp_growth_pct,5.64153069257077
2022,Ethiopia,gdp_growth_pct,5.32175988403378
2023,Ethiopia,gdp_growth_pct,6.59424599357075
2024,Ethiopia,gdp_growth_pct,7.61277447511073
1960,Ethiopia,private_consumption_growth_pct,
1961,Ethiopia,private_consumption_growth_pct,
1962,Ethiopia,private_consumption_growth_pct,
1963,Ethiopia,private_consumption_growth_pct,
1964,Ethiopia,private_consumption_growth_pct,
1965,Ethiopia,private_consumption_growth_pct,
1966,Ethiopia,private_consumption_growth_pct,
1967,Ethiopia,private_consumption_growth_pct,
1968,Ethiopia,private_consumption_growth_pct,
1969,Ethiopia,private_consumption_growth_pct,
1970,Ethiopia,private_consumption_growth_pct,
1971,Ethiopia,private_consumption_growth_pct,
1972,Ethiopia,private_consumption_growth_pct,
1973,Ethiopia,private_consumption_growth_pct,
1974,Ethiopia,private_consumption_growth_pct,
1975,Ethiopia,private_consumption_growth_pct,
1976,Ethiopia,private_consumption_growth_pct,
1977,Ethiopia,private_consumption_growth_pct,
1978,Ethiopia,private_consumption_growth_pct,
1979,Ethiopia,private_consumption_growth_pct,
1980,Ethiopia,private_consumption_growth_pct,
1981,Ethiopia,private_consumption_growth_pct,
1982,Ethiopia,private_consumption_growth_pct,
1983,Ethiopia,private_consumption_growth_pct,
1984,Ethiopia,private_consumption_growth_pct,
1985,Ethiopia,private_consumption_growth_pct,
1986,Ethiopia,private_consumption_growth_pct,
1987,Ethiopia,private_consumption_growth_pct,
1988,Ethiopia,private_consumption_growth_pct,
1989,Ethiopia,private_consumption_growth_pct,
1990,Ethiopia,private_consumption_growth_pct,
1991,Ethiopia,private_consumption_growth_pct,
1992,Ethiopia,private_consumption_growth_pct,
1993,Ethiopia,private_consumption_growth_pct,
1994,Ethiopia,private_consumption_growth_pct,
1995,Ethiopia,private_consumption_growth_pct,
1996,Ethiopia,private_consumption_growth_pct,
1997,Ethiopia,private_consumption_growth_pct,
1998,Ethiopia,private_consumption_growth_pct,
1999,Ethiopia,private_consumption_growth_pct,
2000,Ethiopia,private_consumption_growth_pct,
2001,Ethiopia,private_consumption_growth_pct,
2002,Ethiopia,private_consumption_growth_pct,
2003,Ethiopia,private_consumption_growth_pct,
2004,Ethiopia,private_consumption_growth_pct,
2005,Ethiopia,private_consumption_growth_pct,
2006,Ethiopia,private_consumption_growth_pct,
2007,Ethiopia,private_consumption_growth_pct,
2008,Ethiopia,private_consumption_growth_pct,
2009,Ethiopia,private_consumption_growth_pct,
2010,Ethiopia,private_consumption_growth_pct,
2011,Ethiopia,private_consumption_growth_pct,
2012,Ethiopia,private_consumption_growth_pct,3.41704066349273
2013,Ethiopia,private_consumption_growth_pct,9.83873547128189
2014,Ethiopia,private_consumption_growth_pct,6.52600315624711
2015,Ethiopia,private_consumption_growth_pct,9.93724302357697
2016,Ethiopia,private_consumption_growth_pct,3.81671250264029
2017,Ethiopia,private_consumption_growth_pct,8.65041080723232
2018,Ethiopia,private_consumption_growth_pct,2.71743010362786
2019,Ethiopia,private_consumption_growth_pct,13.6468947397347
2020,Ethiopia,private_consumption_growth_pct,8.30519892342629
2021,Ethiopia,private_consumption_growth_pct,8.72180901762592
2022,Ethiopia,private_consumption_growth_pct,5.66550862257802
2023,Ethiopia,private_consumption_growth_pct,7.18321206990562
2024,Ethiopia,private_consumption_growth_pct,10.0942877286162
1960,Ethiopia,unemployment_total_pct,
1961,Ethiopia,unemployment_total_pct,
1962,Ethiopia,unemployment_total_pct,
1963,Ethiopia,unemployment_total_pct,
1964,Ethiopia,unemployment_total_pct,
1965,Ethiopia,unemployment_total_pct,
1966,Ethiopia,unemployment_total_pct,
1967,Ethiopia,unemployment_total_pct,
1968,Ethiopia,unemployment_total_pct,
1969,Ethiopia,unemployment_total_pct,
1970,Ethiopia,unemployment_total_pct,
1971,Ethiopia,unemployment_total_pct,
1972,Ethiopia,unemployment_total_pct,
1973,Ethiopia,unemployment_total_pct,
1974,Ethiopia,unemployment_total_pct,
1975,Ethiopia,unemployment_total_pct,
1976,Ethiopia,unemployment_total_pct,
1977,Ethiopia,unemployment_total_pct,
1978,Ethiopia,unemployment_total_pct,
1979,Ethiopia,unemployment_total_pct,
1980,Ethiopia,unemployment_total_pct,
1981,Ethiopia,unemployment_total_pct,
1982,Ethiopia,unemployment_total_pct,
1983,Ethiopia,unemployment_total_pct,
1984,Ethiopia,unemployment_total_pct,
1985,Ethiopia,unemployment_total_pct,
1986,Ethiopia,unemployment_total_pct,
1987,Ethiopia,unemployment_total_pct,
1988,Ethiopia,unemployment_total_pct,
1989,Ethiopia,unemployment_total_pct,
1990,Ethiopia,unemployment_total_pct,
1991,Ethiopia,unemployment_total_pct,3.284
1992,Ethiopia,unemployment_total_pct,3.416
1993,Ethiopia,unemployment_total_pct,3.252
1994,Ethiopia,unemployment_total_pct,3.1
1995,Ethiopia,unemployment_total_pct,3.005
1996,Ethiopia,unemployment_total_pct,3.121
1997,Ethiopia,unemployment_total_pct,3.227
1998,Ethiopia,unemployment_total_pct,3.481
1999,Ethiopia,unemployment_total_pct,3.714
2000,Ethiopia,unemployment_total_pct,3.499
2001,Ethiopia,unemployment_total_pct,3.16
2002,Ethiopia,unemployment_total_pct,3.054
2003,Ethiopia,unemployment_total_pct,3.008
2004,Ethiopia,unemployment_total_pct,2.776
2005,Ethiopia,unemployment_total_pct,2.497
2006,Ethiopia,unemployment_total_pct,2.337
2007,Ethiopia,unemployment_total_pct,2.337
2008,Ethiopia,unemployment_total_pct,2.326
2009,Ethiopia,unemployment_total_pct,2.326
2010,Ethiopia,unemployment_total_pct,2.295
2011,Ethiopia,unemployment_total_pct,2.27
2012,Ethiopia,unemployment_total_pct,2.252
2013,Ethiopia,unemployment_total_pct,2.251
2014,Ethiopia,unemployment_total_pct,2.361
2015,Ethiopia,unemployment_total_pct,2.442
2016,Ethiopia,unemployment_total_pct,2.556
2017,Ethiopia,unemployment_total_pct,2.665
2018,Ethiopia,unemployment_total_pct,2.811
2019,Ethiopia,unemployment_total_pct,2.928
2020,Ethiopia,unemployment_total_pct,3.998
2021,Ethiopia,unemployment_total_pct,3.935
2022,Ethiopia,unemployment_total_pct,3.386
2023,Ethiopia,unemployment_total_pct,3.375
2024,Ethiopia,unemployment_total_pct,3.357
1960,Ethiopia,unemployment_youth_pct,
1961,Ethiopia,unemployment_youth_pct,
1962,Ethiopia,unemployment_youth_pct,
1963,Ethiopia,unemployment_youth_pct,
1964,Ethiopia,unemployment_youth_pct,
1965,Ethiopia,unemployment_youth_pct,
1966,Ethiopia,unemployment_youth_pct,
1967,Ethiopia,unemployment_youth_pct,
1968,Ethiopia,unemployment_youth_pct,
1969,Ethiopia,unemployment_youth_pct,
1970,Ethiopia,unemployment_youth_pct,
1971,Ethiopia,unemployment_youth_pct,
1972,Ethiopia,unemployment_youth_pct,
1973,Ethiopia,unemployment_youth_pct,
1974,Ethiopia,unemployment_youth_pct,
1975,Ethiopia,unemployment_youth_pct,
1976,Ethiopia,unemployment_youth_pct,
1977,Ethiopia,unemployment_youth_pct,
1978,Ethiopia,unemployment_youth_pct,
1979,Ethiopia,unemployment_youth_pct,
1980,Ethiopia,unemployment_youth_pct,
1981,Ethiopia,unemployment_youth_pct,
1982,Ethiopia,unemployment_youth_pct,
1983,Ethiopia,unemployment_youth_pct,
1984,Ethiopia,unemployment_youth_pct,
1985,Ethiopia,unemployment_youth_pct,
1986,Ethiopia,unemployment_youth_pct,
1987,Ethiopia,unemployment_youth_pct,
1988,Ethiopia,unemployment_youth_pct,
1989,Ethiopia,unemployment_youth_pct,
1990,Ethiopia,unemployment_youth_pct,
1991,Ethiopia,unemployment_youth_pct,4.701
1992,Ethiopia,unemployment_youth_pct,4.822
1993,Ethiopia,unemployment_youth_pct,4.674
1994,Ethiopia,unemployment_youth_pct,4.531
1995,Ethiopia,unemployment_youth_pct,4.501
1996,Ethiopia,unemployment_youth_pct,4.678
1997,Ethiopia,unemployment_youth_pct,4.844
1998,Ethiopia,unemployment_youth_pct,5.158
1999,Ethiopia,unemployment_youth_pct,5.447
2000,Ethiopia,unemployment_youth_pct,5.127
2001,Ethiopia,unemployment_youth_pct,4.683
2002,Ethiopia,unemployment_youth_pct,4.472
2003,Ethiopia,unemployment_youth_pct,4.316
2004,Ethiopia,unemployment_youth_pct,3.982
2005,Ethiopia,unemployment_youth_pct,3.602
2006,Ethiopia,unemployment_youth_pct,3.45
2007,Ethiopia,unemployment_youth_pct,3.457
2008,Ethiopia,unemployment_youth_pct,3.453
2009,Ethiopia,unemployment_youth_pct,3.46
2010,Ethiopia,unemployment_youth_pct,3.435
2011,Ethiopia,unemployment_youth_pct,3.42
2012,Ethiopia,unemployment_youth_pct,3.414
2013,Ethiopia,unemployment_youth_pct,3.429
2014,Ethiopia,unemployment_youth_pct,3.634
2015,Ethiopia,unemployment_youth_pct,3.813
2016,Ethiopia,unemployment_youth_pct,4.031
2017,Ethiopia,unemployment_youth_pct,4.25
2018,Ethiopia,unemployment_youth_pct,4.515
2019,Ethiopia,unemployment_youth_pct,4.752
2020,Ethiopia,unemployment_youth_pct,6.356
2021,Ethiopia,unemployment_youth_pct,6.246
2022,Ethiopia,unemployment_youth_pct,5.45
2023,Ethiopia,unemployment_youth_pct,5.455
2024,Ethiopia,unemployment_youth_pct,5.449
1960,Kenya,gdp_growth_pct,
1961,Kenya,gdp_growth_pct,-7.77463490371655
1962,Kenya,gdp_growth_pct,9.45735874072126
1963,Kenya,gdp_growth_pct,8.77834021621184
1964,Kenya,gdp_growth_pct,4.96446728844091
1965,Kenya,gdp_growth_pct,2.00909417103099
1966,Kenya,gdp_growth_pct,14.7285664015687
1967,Kenya,gdp_growth_pct,3.36123203258556
1968,Kenya,gdp_growth_pct,7.9826899693479
1969,Kenya,gdp_growth_pct,7.9592244594956
1970,Kenya,gdp_growth_pct,-4.65544691647621
1971,Kenya,gdp_growth_pct,22.1738919255764
1972,Kenya,gdp_growth_pct,17.082429349983
1973,Kenya,gdp_growth_pct,5.89658021016672
1974,Kenya,gdp_growth_pct,4.06561734893735
1975,Kenya,gdp_growth_pct,0.882203175319148
1976,Kenya,gdp_growth_pct,2.15396450322561
1977,Kenya,gdp_growth_pct,9.45379784408087
1978,Kenya,gdp_growth_pct,6.91249354626197
1979,Kenya,gdp_growth_pct,7.61522604591983
1980,Kenya,gdp_growth_pct,5.5919762059677
1981,Kenya,gdp_growth_pct,3.77354419402822
1982,Kenya,gdp_growth_pct,1.50647825757706
1983,Kenya,gdp_growth_pct,1.3090502411486
1984,Kenya,gdp_growth_pct,1.75521697703473
1985,Kenya,gdp_growth_pct,4.30056181879613
1986,Kenya,gdp_growth_pct,7.17755539065963
1987,Kenya,gdp_growth_pct,5.93710744420895
1988,Kenya,gdp_growth_pct,6.20318382314591
1989,Kenya,gdp_growth_pct,4.69034876792047
1990,Kenya,gdp_growth_pct,4.19205097155167
1991,Kenya,gdp_growth_pct,1.43834679171559
1992,Kenya,gdp_growth_pct,-0.799493958641349
1993,Kenya,gdp_growth_pct,0.353197256227247
1994,Kenya,gdp_growth_pct,2.632784517837
1995,Kenya,gdp_growth_pct,4.40621652482287
1996,Kenya,gdp_growth_pct,4.14683926876013
1997,Kenya,gdp_growth_pct,0.474901921293579
1998,Kenya,gdp_growth_pct,3.29021372249065
1999,Kenya,gdp_growth_pct,2.30538859522412
2000,Kenya,gdp_growth_pct,0.599695390807426
2001,Kenya,gdp_growth_pct,3.77990649795343
2002,Kenya,gdp_growth_pct,0.546859530175595
2003,Kenya,gdp_growth_pct,2.93247554570904
2004,Kenya,gdp_growth_pct,5.10429977629738
2005,Kenya,gdp_growth_pct,5.90666607980057
2006,Kenya,gdp_growth_pct,6.47249430015484
2007,Kenya,gdp_growth_pct,6.85072976998784
2008,Kenya,gdp_growth_pct,0.232282744812977
2009,Kenya,gdp_growth_pct,3.30693981631089
2010,Kenya,gdp_growth_pct,8.05847360290906
2011,Kenya,gdp_growth_pct,5.1211061197056
2012,Kenya,gdp_growth_pct,4.56867961444982
2013,Kenya,gdp_growth_pct,3.7978483925754
2014,Kenya,gdp_growth_pct,5.02011100232484
2015,Kenya,gdp_growth_pct,4.96772112759767
2016,Kenya,gdp_growth_pct,4.21351706814744
2017,Kenya,gdp_growth_pct,3.83795817364721
2018,Kenya,gdp_growth_pct,5.64794640709219
2019,Kenya,gdp_growth_pct,5.11415885767801
2020,Kenya,gdp_growth_pct,-0.272766327438816
2021,Kenya,gdp_growth_pct,7.59048947333467
2022,Kenya,gdp_growth_pct,4.85998104287999
2023,Kenya,gdp_growth_pct,5.71999241214208
2024,Kenya,gdp_growth_pct,4.72473994710138
1960,Kenya,private_consumption_growth_pct,
1961,Kenya,private_consumption_growth_pct,1.24640255723965
1962,Kenya,private_consumption_growth_pct,7.99120033637755
1963,Kenya,private_consumption_growth_pct,0.123753776752238
1964,Kenya,private_consumption_growth_pct,6.91067763094217
1965,Kenya,private_consumption_growth_pct,7.92760427454111
1966,Kenya,private_consumption_growth_pct,7.91184536030222
1967,Kenya,private_consumption_growth_pct,5.3249982069475
1968,Kenya,private_consumption_growth_pct,-9.57936901610825
1969,Kenya,private_consumption_growth_pct,3.01787270651658
1970,Kenya,private_consumption_growth_pct,-9.52414179997396
1971,Kenya,private_consumption_growth_pct,44.9427098681007
1972,Kenya,private_consumption_growth_pct,13.1392007953135
1973,Kenya,private_consumption_growth_pct,-6.56797847805748
1974,Kenya,private_consumption_growth_pct,14.9553880604952
1975,Kenya,private_consumption_growth_pct,-1.95901344096046
1976,Kenya,private_consumption_growth_pct,-5.15785947383037
1977,Kenya,private_consumption_growth_pct,8.50264751758785
1978,Kenya,private_consumption_growth_pct,14.4039865168048
1979,Kenya,private_consumption_growth_pct,4.01005359241483
1980,Kenya,private_consumption_growth_pct,2.49126871527329
1981,Kenya,private_consumption_growth_pct,-3.74171448734687
1982,Kenya,private_consumption_growth_pct,3.15880930039198
1983,Kenya,private_consumption_growth_pct,-3.25741215350349
1984,Kenya,private_consumption_growth_pct,7.93172271524189
1985,Kenya,private_consumption_growth_pct,-6.82066839073163
1986,Kenya,private_consumption_growth_pct,19.0137861970057
1987,Kenya,private_consumption_growth_pct,8.67383456064914
1988,Kenya,private_consumption_growth_pct,8.49098922214506
1989,Kenya,private_consumption_growth_pct,5.93595767624568
1990,Kenya,private_consumption_growth_pct,-0.290250118056193
1991,Kenya,private_consumption_growth_pct,2.40269907080346
1992,Kenya,private_consumption_growth_pct,-1.02025957192564
1993,Kenya,private_consumption_growth_pct,-1.5438654662327
1994,Kenya,private_consumption_growth_pct,1.82241565755825
1995,Kenya,private_consumption_growth_pct,14.0007215421948
1996,Kenya,private_consumption_growth_pct,2.59876793380154
1997,Kenya,private_consumption_growth_pct,3.82105894007299
1998,Kenya,private_consumption_growth_pct,4.57768230869955
1999,Kenya,private_consumption_growth_pct,4.09898223281637
2000,Kenya,private_consumption_growth_pct,-0.383022773245003
2001,Kenya,private_consumption_growth_pct,4.14772734653029
2002,Kenya,private_consumption_growth_pct,0.843318429239346
2003,Kenya,private_consumption_growth_pct,2.20268030860215
2004,Kenya,private_consumption_growth_pct,2.41994762408066
2005,Kenya,private_consumption_growth_pct,6.46642969189901
2006,Kenya,private_consumption_growth_pct,9.92487153475959
2007,Kenya,private_consumption_growth_pct,5.29580285340012
2008,Kenya,private_consumption_growth_pct,-1.51901516510466
2009,Kenya,private_consumption_growth_pct,4.58906527400642
2010,Kenya,private_consumption_growth_pct,4.96969696969698
2011,Kenya,private_consumption_growth_pct,4.94226327944574
2012,Kenya,private_consumption_growth_pct,4.35739436619717
2013,Kenya,private_consumption_growth_pct,6.19991564740616
2014,Kenya,private_consumption_growth_pct,4.20969023034155
2015,Kenya,private_consumption_growth_pct,5.79935213414635
2016,Kenya,private_consumption_growth_pct,4.50386593064198
2017,Kenya,private_consumption_growth_pct,4.91045598833205
2018,Kenya,private_consumption_growth_pct,4.7297576676153
2019,Kenya,private_consumption_growth_pct,5.00090160994786
2020,Kenya,private_consumption_growth_pct,-1.83110965310708
2021,Kenya,private_consumption_growth_pct,6.05567337902859
2022,Kenya,private_consumption_growth_pct,2.33653817457203
2023,Kenya,private_consumption_growth_pct,7.52336553425963
2024,Kenya,private_consumption_growth_pct,6.92414507499066
1960,Kenya,unemployment_total_pct,
1961,Kenya,unemployment_total_pct,
1962,Kenya,unemployment_total_pct,
1963,Kenya,unemployment_total_pct,
1964,Kenya,unemployment_total_pct,
1965,Kenya,unemployment_total_pct,
1966,Kenya,unemployment_total_pct,
1967,Kenya,unemployment_total_pct,
1968,Kenya,unemployment_total_pct,
1969,Kenya,unemployment_total_pct,
1970,Kenya,unemployment_total_pct,
1971,Kenya,unemployment_total_pct,
1972,Kenya,unemployment_total_pct,
1973,Kenya,unemployment_total_pct,
1974,Kenya,unemployment_total_pct,
1975,Kenya,unemployment_total_pct,
1976,Kenya,unemployment_total_pct,
1977,Kenya,unemployment_total_pct,
1978,Kenya,unemployment_total_pct,
1979,Kenya,unemployment_total_pct,
1980,Kenya,unemployment_total_pct,
1981,Kenya,unemployment_total_pct,
1982,Kenya,unemployment_total_pct,
1983,Kenya,unemployment_total_pct,
1984,Kenya,unemployment_total_pct,
1985,Kenya,unemployment_total_pct,
1986,Kenya,unemployment_total_pct,
1987,Kenya,unemployment_total_pct,
1988,Kenya,unemployment_total_pct,
1989,Kenya,unemployment_total_pct,
1990,Kenya,unemployment_total_pct,
1991,Kenya,unemployment_total_pct,2.78
1992,Kenya,unemployment_total_pct,2.894
1993,Kenya,unemployment_total_pct,2.979
1994,Kenya,unemployment_total_pct,2.955
1995,Kenya,unemployment_total_pct,2.848
1996,Kenya,unemployment_total_pct,2.773
1997,Kenya,unemployment_total_pct,2.818
1998,Kenya,unemployment_total_pct,2.843
1999,Kenya,unemployment_total_pct,2.884
2000,Kenya,unemployment_total_pct,2.884
2001,Kenya,unemployment_total_pct,2.876
2002,Kenya,unemployment_total_pct,2.916
2003,Kenya,unemployment_total_pct,2.869
2004,Kenya,unemployment_total_pct,2.844
2005,Kenya,unemployment_total_pct,2.739
2006,Kenya,unemployment_total_pct,2.673
2007,Kenya,unemployment_total_pct,2.642
2008,Kenya,unemployment_total_pct,2.751
2009,Kenya,unemployment_total_pct,2.816
2010,Kenya,unemployment_total_pct,2.793
2011,Kenya,unemployment_total_pct,2.699
2012,Kenya,unemployment_total_pct,2.678
2013,Kenya,unemployment_total_pct,2.762
2014,Kenya,unemployment_total_pct,2.767
2015,Kenya,unemployment_total_pct,2.762
2016,Kenya,unemployment_total_pct,2.757
2017,Kenya,unemployment_total_pct,3.542
2018,Kenya,unemployment_total_pct,4.284
2019,Kenya,unemployment_total_pct,5.014
2020,Kenya,unemployment_total_pct,5.613
2021,Kenya,unemployment_total_pct,5.693
2022,Kenya,unemployment_total_pct,5.565
2023,Kenya,unemployment_total_pct,5.409
2024,Kenya,unemployment_total_pct,5.487
1960,Kenya,unemployment_youth_pct,
1961,Kenya,unemployment_youth_pct,
1962,Kenya,unemployment_youth_pct,
1963,Kenya,unemployment_youth_pct,
1964,Kenya,unemployment_youth_pct,
1965,Kenya,unemployment_youth_pct,
1966,Kenya,unemployment_youth_pct,
1967,Kenya,unemployment_youth_pct,
1968,Kenya,unemployment_youth_pct,
1969,Kenya,unemployment_youth_pct,
1970,Kenya,unemployment_youth_pct,
1971,Kenya,unemployment_youth_pct,
1972,Kenya,unemployment_youth_pct,
1973,Kenya,unemployment_youth_pct,
1974,Kenya,unemployment_youth_pct,
1975,Kenya,unemployment_youth_pct,
1976,Kenya,unemployment_youth_pct,
1977,Kenya,unemployment_youth_pct,
1978,Kenya,unemployment_youth_pct,
1979,Kenya,unemployment_youth_pct,
1980,Kenya,unemployment_youth_pct,
1981,Kenya,unemployment_youth_pct,
1982,Kenya,unemployment_youth_pct,
1983,Kenya,unemployment_youth_pct,
1984,Kenya,unemployment_youth_pct,
1985,Kenya,unemployment_youth_pct,
1986,Kenya,unemployment_youth_pct,
1987,Kenya,unemployment_youth_pct,
1988,Kenya,unemployment_youth_pct,
1989,Kenya,unemployment_youth_pct,
1990,Kenya,unemployment_youth_pct,
1991,Kenya,unemployment_youth_pct,6.209
1992,Kenya,unemployment_youth_pct,6.465
1993,Kenya,unemployment_youth_pct,6.667
1994,Kenya,unemployment_youth_pct,6.67
1995,Kenya,unemployment_youth_pct,6.513
1996,Kenya,unemployment_youth_pct,6.411
1997,Kenya,unemployment_youth_pct,6.536
1998,Kenya,unemployment_youth_pct,6.62
1999,Kenya,unemployment_youth_pct,6.736
2000,Kenya,unemployment_youth_pct,6.763
2001,Kenya,unemployment_youth_pct,6.778
2002,Kenya,unemployment_youth_pct,6.885
2003,Kenya,unemployment_youth_pct,6.829
2004,Kenya,unemployment_youth_pct,6.818
2005,Kenya,unemployment_youth_pct,6.654
2006,Kenya,unemployment_youth_pct,6.571
2007,Kenya,unemployment_youth_pct,6.561
2008,Kenya,unemployment_youth_pct,6.839
2009,Kenya,unemployment_youth_pct,7.03
2010,Kenya,unemployment_youth_pct,7.049
2011,Kenya,unemployment_youth_pct,6.924
2012,Kenya,unemployment_youth_pct,6.945
2013,Kenya,unemployment_youth_pct,7.183
2014,Kenya,unemployment_youth_pct,7.253
2015,Kenya,unemployment_youth_pct,7.299
2016,Kenya,unemployment_youth_pct,7.333
2017,Kenya,unemployment_youth_pct,9.097
2018,Kenya,unemployment_youth_pct,10.818
2019,Kenya,unemployment_youth_pct,12.547
2020,Kenya,unemployment_youth_pct,13.619
2021,Kenya,unemployment_youth_pct,12.232
2022,Kenya,unemployment_youth_pct,15.488
2023,Kenya,unemployment_youth_pct,15.164
2024,Kenya,unemployment_youth_pct,15.477
1960,Rwanda,gdp_growth_pct,
1961,Rwanda,gdp_growth_pct,-4.2975260472235
1962,Rwanda,gdp_growth_pct,11.3337983684303
1963,Rwanda,gdp_growth_pct,-9.82044441324079
1964,Rwanda,gdp_growth_pct,-12.4649926826469
1965,Rwanda,gdp_growth_pct,7.00952925499003
1966,Rwanda,gdp_growth_pct,7.00891082281643
